"2024-09-09 17:40:28,394 INFO  [main] com.project.CossinesHomesApplication:Starting CossinesHomesApplication using Java 17.0.9 on Seval with PID 16052 (C:\Users\seval\IdeaProjects\CossinesHomes\target\classes started by seval in C:\Users\seval\IdeaProjects\CossinesHomes)
""2024-09-09 17:40:28,397 INFO  [main] com.project.CossinesHomesApplication:No active profile set, falling back to 1 default profile: "default"
""2024-09-09 17:40:29,546 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2024-09-09 17:40:29,750 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Finished Spring Data repository scanning in 187 ms. Found 16 JPA repository interfaces.
""2024-09-09 17:40:30,669 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer:Tomcat initialized with port(s): 8080 (http)
""2024-09-09 17:40:30,683 INFO  [main] org.apache.catalina.core.StandardService:Starting service [Tomcat]
""2024-09-09 17:40:30,683 INFO  [main] org.apache.catalina.core.StandardEngine:Starting Servlet engine: [Apache Tomcat/9.0.68]
""2024-09-09 17:40:30,943 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring embedded WebApplicationContext
""2024-09-09 17:40:30,944 INFO  [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:Root WebApplicationContext: initialization completed in 2476 ms
""2024-09-09 17:40:31,394 INFO  [main] org.hibernate.jpa.internal.util.LogHelper:HHH000204: Processing PersistenceUnitInfo [name: default]
""2024-09-09 17:40:31,517 INFO  [main] org.hibernate.Version:HHH000412: Hibernate ORM core version 5.6.12.Final
""2024-09-09 17:40:31,927 INFO  [main] org.hibernate.annotations.common.Version:HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
""2024-09-09 17:40:32,235 INFO  [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Starting...
""2024-09-09 17:40:32,776 INFO  [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Start completed.
""2024-09-09 17:40:32,809 INFO  [main] org.hibernate.dialect.Dialect:HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL81Dialect
""2024-09-09 17:40:34,463 INFO  [main] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator:HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2024-09-09 17:40:34,473 INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:Initialized JPA EntityManagerFactory for persistence unit 'default'
""2024-09-09 17:40:35,995 WARN  [main] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration:spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2024-09-09 17:40:36,338 INFO  [main] org.springframework.security.web.DefaultSecurityFilterChain:Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@25762f04, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2932721e, org.springframework.security.web.context.SecurityContextPersistenceFilter@5fe024a7, org.springframework.security.web.header.HeaderWriterFilter@1bc1aa9e, org.springframework.web.filter.CorsFilter@5a6d4dee, org.springframework.security.web.authentication.logout.LogoutFilter@7ddcd3d, com.project.security.jwt.AuthTokenFilter@11939a9f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7bdf8c92, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7c0b792e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6447dc25, org.springframework.security.web.session.SessionManagementFilter@4c5c0306, org.springframework.security.web.access.ExceptionTranslationFilter@5e94947e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5812935]
""2024-09-09 17:40:36,957 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer:Tomcat started on port(s): 8080 (http) with context path ''
""2024-09-09 17:40:36,986 INFO  [main] com.project.CossinesHomesApplication:Started CossinesHomesApplication in 9.195 seconds (JVM running for 9.941)
"
